,¶©µ¥ºÅ,SKU±àÂë,ÊýÁ¿
396,39,8,14
397,39,9,19
398,39,11,8
399,39,12,10
400,39,16,7
401,39,18,14
402,39,19,9
403,39,24,19
404,39,28,15
405,40,2,19
406,40,4,13
407,40,5,14
408,40,7,5
409,40,11,11
410,40,15,10
411,40,17,17
412,40,20,18
413,40,22,18
414,40,29,11
415,41,1,13
416,41,5,17
417,41,7,19
418,41,13,17
419,41,20,17
420,41,23,19
421,41,25,15
422,41,26,11
423,41,27,11
424,41,29,15
425,42,6,19
426,42,11,19
427,42,15,16
428,42,18,17
429,42,19,11
430,42,21,8
431,43,0,19
432,43,3,11
433,43,5,19
434,43,10,16
435,43,14,11
436,43,18,18
437,43,27,12
438,43,28,11
439,44,0,17
440,44,1,11
441,44,2,10
442,44,3,17
443,44,4,11
444,44,5,19
445,44,7,13
446,44,10,6
447,44,14,16
448,44,18,13
449,44,22,10
450,44,29,18
451,45,4,10
452,45,8,12
453,45,10,13
454,45,15,8
455,45,16,19
456,45,25,9
457,45,26,17
458,45,27,9
459,45,29,5
460,46,0,10
461,46,1,14
462,46,3,12
463,46,11,13
464,46,12,15
465,46,24,14
466,46,25,9
467,47,2,18
468,47,11,17
469,47,13,15
470,47,14,13
471,47,15,19
472,47,20,12
473,47,21,19
474,47,22,9
475,47,28,19
476,48,0,19
477,48,2,11
478,48,3,7
479,48,5,18
480,48,10,6
481,48,11,18
482,48,12,9
483,48,14,9
484,48,17,17
485,48,20,6
486,48,21,18
487,48,22,9
488,48,24,8
489,49,3,14
490,49,8,8
491,49,10,7
492,49,11,7
493,49,12,17
494,49,13,9
495,49,14,19
496,49,15,12
497,49,17,5
498,49,18,18
499,49,24,17
500,49,26,15
501,49,27,5
502,49,28,19
503,50,5,14
504,50,9,19
505,50,13,8
506,50,17,11
507,50,23,9
508,50,25,12
509,50,26,16
510,51,1,19
511,51,4,18
512,51,10,5
513,51,12,15
514,51,13,17
515,51,15,7
516,51,26,19
517,51,27,19
518,51,28,11
519,52,0,10
520,52,1,15
521,52,5,11
522,52,10,14
523,52,12,15
524,52,15,5
525,52,16,15
526,52,17,18
527,52,19,5
528,52,20,17
529,52,21,9
530,52,27,15
531,52,29,8
532,53,1,12
533,53,2,6
534,53,4,19
535,53,5,18
536,53,9,13
537,53,10,12
538,53,13,12
539,53,16,14
540,53,17,17
541,53,18,6
542,53,20,8
543,53,21,7
544,54,4,12
545,54,6,6
546,54,9,12
547,54,10,5
548,54,14,17
549,54,17,11
550,54,18,19
551,54,19,18
552,54,22,10
553,54,24,18
554,54,25,10
555,54,28,17
556,55,1,11
557,55,4,10
558,55,5,5
559,55,7,14
560,55,15,19
561,55,17,6
562,55,22,6
563,55,25,5
564,55,27,18
565,55,28,19
566,55,29,5
567,56,1,5
568,56,3,7
569,56,5,19
570,56,7,19
571,56,9,8
572,56,10,13
573,56,12,18
574,56,14,7
575,56,15,15
576,56,19,10
577,56,20,9
578,56,21,5
579,56,24,8
580,56,26,17
581,57,3,6
582,57,4,11
583,57,7,7
584,57,11,14
585,57,15,16
586,57,16,11
587,57,18,7
588,57,21,12
589,57,24,19
590,57,26,12
591,57,27,17
592,58,2,8
593,58,8,14
594,58,13,12
595,58,18,12
596,58,29,6
597,59,5,13
598,59,6,5
599,59,9,11
600,59,14,19
601,59,18,15
602,59,26,6
603,59,27,19
604,59,28,16
605,60,0,10
606,60,7,17
607,60,10,15
608,60,12,7
609,60,18,16
610,61,4,13
611,61,12,14
612,61,13,14
613,61,18,8
614,61,20,11
615,61,21,8
616,61,22,19
617,61,23,12
618,61,24,16
619,61,25,9
620,61,26,11
621,61,27,14
622,61,28,10
623,62,0,5
624,62,2,13
625,62,3,9
626,62,4,11
627,62,5,11
628,62,8,10
629,62,15,12
630,62,16,8
631,62,19,9
632,62,20,12
633,62,21,17
634,62,23,17
635,62,24,9
636,62,25,5
637,63,2,5
638,63,3,19
639,63,5,14
640,63,6,14
641,63,16,13
642,63,21,9
643,64,0,16
644,64,1,8
645,64,2,11
646,64,4,18
647,64,6,6
648,64,9,14
649,64,18,6
650,64,21,9
651,64,24,5
652,64,25,12
653,64,26,11
654,65,2,14
655,65,3,16
656,65,8,10
657,65,13,15
658,65,20,11
659,65,21,6
660,65,27,12
661,66,1,9
662,66,7,13
663,66,10,18
664,66,22,18
665,66,23,15
666,66,25,16
667,67,4,17
668,67,5,19
669,67,9,14
670,67,10,9
671,67,13,10
672,67,14,7
673,67,22,9
674,67,25,17
675,67,26,19
676,67,28,12
677,68,1,14
678,68,2,10
679,68,6,8
680,68,7,7
681,68,9,19
682,68,11,16
683,68,14,5
684,68,17,5
685,68,19,9
686,68,20,15
687,68,26,18
688,68,28,16
689,68,29,8
690,69,1,17
691,69,3,18
692,69,5,14
693,69,7,7
694,69,8,12
695,69,19,16
696,69,22,13
697,70,4,5
698,70,7,12
699,70,10,18
700,70,15,16
701,70,16,16
702,70,24,14
703,70,25,6
704,70,28,13
705,71,1,17
706,71,3,7
707,71,5,9
708,71,8,6
709,71,9,8
710,71,11,9
711,71,13,11
712,71,14,16
713,71,15,19
714,71,19,8
715,71,20,9
716,71,21,18
717,71,29,6
718,72,1,6
719,72,5,10
720,72,6,12
721,72,9,7
722,72,10,19
723,72,13,5
724,72,17,18
725,72,19,12
726,72,20,11
727,72,24,8
728,72,29,8
729,73,1,12
730,73,4,14
731,73,6,11
732,73,8,14
733,73,9,5
734,73,10,19
735,73,12,15
736,73,15,11
737,73,17,7
738,73,21,6
739,73,22,8
740,73,24,15
741,73,28,8
742,74,6,11
743,74,11,6
744,74,20,19
745,74,26,13
746,74,29,17
747,75,9,15
748,75,11,16
749,75,13,6
750,75,15,11
751,75,17,13
752,75,20,10
753,75,24,9
754,76,0,14
755,76,1,9
756,76,2,13
757,76,11,5
758,76,15,12
759,76,17,14
760,76,18,10
761,76,25,18
762,76,29,8
763,77,1,14
764,77,2,16
765,77,3,11
766,77,8,15
767,77,15,18
768,77,18,13
769,77,22,7
770,77,24,11
771,77,27,7
772,78,4,6
773,78,5,14
774,78,6,18
775,78,11,10
776,78,15,19
777,78,18,17
778,78,19,9
779,78,23,15
780,78,25,10
781,79,0,13
782,79,2,12
783,79,4,10
784,79,5,17
785,79,7,8
786,79,8,11
787,79,13,6
788,79,15,16
789,79,16,11
790,79,21,19
791,79,23,5
792,79,24,12
793,79,26,16
794,79,27,15
795,80,0,16
796,80,1,6
797,80,2,17
798,80,3,11
799,80,7,6
800,80,12,19
801,80,13,6
802,80,17,5
803,80,18,16
804,80,21,7
805,80,22,12
806,80,25,13
807,80,29,7
808,81,1,12
809,81,5,14
810,81,6,16
811,81,11,11
812,81,12,18
813,81,13,17
814,81,15,8
815,81,24,19
816,81,27,9
817,81,29,9
818,82,3,5
819,82,6,12
820,82,11,15
821,82,12,11
822,82,15,10
823,82,18,19
824,82,23,8
825,82,26,14
826,83,1,6
827,83,5,15
828,83,7,9
829,83,8,14
830,83,9,7
831,83,11,18
832,83,12,18
833,83,13,12
834,83,16,9
835,83,18,15
836,83,26,16
837,83,28,11
838,84,4,16
839,84,7,8
840,84,11,15
841,84,13,9
842,84,15,15
843,84,16,5
844,84,17,6
845,84,21,10
846,84,22,12
847,84,25,13
848,84,26,10
849,84,28,19
850,84,29,10
851,85,4,8
852,85,16,9
853,85,17,17
854,85,22,19
855,85,28,15
856,86,0,12
857,86,6,18
858,86,16,15
859,86,18,13
860,86,19,13
861,86,20,5
862,86,23,7
863,86,25,6
864,86,26,9
865,86,27,16
866,86,28,9
867,86,29,6
868,87,3,5
869,87,6,12
870,87,7,5
871,87,9,13
872,87,11,19
873,87,12,8
874,87,13,9
875,87,14,12
876,87,15,10
877,87,16,11
878,87,20,6
879,87,26,8
880,87,28,16
881,88,1,18
882,88,2,6
883,88,5,14
884,88,7,14
885,88,9,19
886,88,12,13
887,88,15,17
888,88,16,17
889,88,18,5
890,88,20,17
891,88,22,13
892,88,26,16
893,88,27,15
894,88,29,17
895,89,3,8
896,89,7,8
897,89,8,13
898,89,11,15
899,89,14,10
900,89,23,19
901,90,3,18
902,90,14,9
903,90,20,6
904,90,22,7
905,90,23,10
906,90,24,5
907,90,27,12
908,90,28,9
909,91,0,5
910,91,1,7
911,91,4,9
912,91,10,10
913,91,16,13
914,91,22,11
915,91,24,5
916,92,0,9
917,92,8,9
918,92,18,12
919,92,19,10
920,92,23,19
921,92,24,16
922,93,0,5
923,93,1,10
924,93,2,12
925,93,3,8
926,93,7,18
927,93,11,13
928,93,22,14
929,93,25,6
930,93,27,9
931,94,1,15
932,94,7,7
933,94,10,12
934,94,16,9
935,94,19,6
936,94,23,5
937,94,24,15
938,94,26,10
939,95,0,9
940,95,6,15
941,95,23,14
942,95,25,13
943,95,29,16
944,96,0,11
945,96,3,18
946,96,8,14
947,96,9,15
948,96,12,10
949,96,19,5
950,96,21,18
951,96,23,19
952,96,24,16
953,96,29,17
954,97,7,8
955,97,8,10
956,97,10,19
957,97,12,11
958,97,13,5
959,97,14,14
960,97,17,12
961,97,22,8
962,97,24,18
963,97,25,14
964,97,28,5
965,98,1,18
966,98,3,10
967,98,13,15
968,98,19,8
969,98,20,13
970,98,21,16
971,98,23,7
972,98,24,17
973,98,25,6
974,99,10,14
975,99,15,10
976,99,16,11
977,99,20,19
978,99,29,15
979,100,1,10
980,100,4,13
981,100,11,17
982,100,12,13
983,100,15,16
984,100,18,15
985,100,22,8
986,100,26,10
987,101,10,9
988,101,15,15
989,101,20,19
990,101,22,13
991,101,25,19
992,101,27,15
993,102,2,14
994,102,3,17
995,102,4,19
996,102,12,5
997,102,14,8
998,102,22,15
999,102,23,13
1000,103,1,10
1001,103,3,7
1002,103,4,14
1003,103,7,14
1004,103,8,13
1005,103,9,18
1006,103,17,14
1007,103,18,13
1008,103,19,16
1009,103,21,9
1010,103,24,18
1011,103,25,16
1012,103,28,13
1013,103,29,9
1014,104,2,11
1015,104,5,11
1016,104,6,16
1017,104,7,7
1018,104,8,6
1019,104,9,18
1020,104,13,19
1021,104,14,10
1022,104,16,12
1023,104,17,15
1024,104,19,17
1025,105,3,8
1026,105,8,11
1027,105,10,13
1028,105,20,16
1029,105,21,15
1030,106,3,10
1031,106,8,16
1032,106,10,15
1033,106,13,19
1034,106,14,18
1035,107,3,15
1036,107,4,11
1037,107,8,11
1038,107,15,16
1039,107,16,8
1040,107,17,5
1041,107,25,15
1042,108,1,14
1043,108,4,10
1044,108,5,14
1045,108,6,14
1046,108,10,16
1047,108,11,12
1048,108,15,9
1049,108,16,15
1050,108,17,15
1051,108,18,13
1052,108,23,12
1053,109,0,15
1054,109,10,10
1055,109,12,16
1056,109,15,18
1057,109,18,8
1058,109,19,14
1059,109,20,19
1060,109,23,5
1061,109,28,12
1062,110,1,8
1063,110,2,8
1064,110,4,5
1065,110,9,15
1066,110,10,19
1067,110,16,16
1068,110,23,5
1069,111,0,12
1070,111,2,17
1071,111,9,17
1072,111,15,6
1073,111,20,15
1074,111,24,8
1075,112,0,5
1076,112,4,15
1077,112,7,14
1078,112,10,17
1079,112,12,16
1080,112,14,8
1081,112,15,10
1082,112,19,16
1083,112,20,14
1084,112,23,18
1085,112,26,10
1086,112,28,12
1087,112,29,8
1088,113,2,11
1089,113,5,15
1090,113,6,12
1091,113,11,7
1092,113,12,14
1093,113,18,15
1094,113,21,6
1095,113,23,6
1096,113,24,9
1097,113,29,15
1098,114,0,10
1099,114,2,10
1100,114,7,6
1101,114,8,12
1102,114,12,9
1103,114,18,18
1104,114,19,7
1105,114,22,11
1106,114,23,13
1107,114,24,5
1108,114,26,10
1109,114,29,8
1110,115,0,17
1111,115,3,18
1112,115,4,12
1113,115,5,17
1114,115,10,12
1115,115,16,7
1116,115,20,6
1117,115,27,18
1118,115,29,5
1119,116,0,7
1120,116,8,8
1121,116,9,13
1122,116,16,17
1123,116,18,15
1124,116,20,11
1125,116,21,15
1126,116,26,17
1127,116,27,12
1128,116,29,13
1129,117,2,19
1130,117,3,14
1131,117,7,10
1132,117,8,9
1133,117,11,6
1134,117,12,13
1135,117,13,6
1136,117,15,18
1137,117,18,18
1138,117,19,16
1139,117,20,17
1140,117,21,17
1141,117,24,6
1142,117,29,16
1143,118,0,9
1144,118,6,16
1145,118,15,8
1146,118,18,18
1147,118,20,11
1148,118,22,14
1149,118,23,5
1150,118,25,19
1151,118,26,11
1152,118,29,7
1153,119,0,5
1154,119,3,16
1155,119,5,10
1156,119,6,14
1157,119,11,16
1158,119,12,8
1159,119,13,9
1160,119,14,19
1161,119,16,14
1162,119,17,19
1163,120,3,15
1164,120,7,18
1165,120,10,5
1166,120,15,19
1167,120,18,7
1168,120,26,17
1169,121,0,13
1170,121,3,16
1171,121,4,5
1172,121,8,9
1173,121,10,16
1174,121,13,7
1175,121,19,10
1176,121,20,17
1177,121,22,6
1178,121,26,12
1179,121,27,16
1180,122,1,11
1181,122,2,5
1182,122,3,10
1183,122,9,7
1184,122,13,14
1185,122,16,10
1186,122,17,15
1187,122,18,16
1188,122,22,16
1189,122,23,14
1190,122,24,19
1191,122,28,11
1192,122,29,15
1193,123,4,11
1194,123,5,9
1195,123,6,7
1196,123,8,12
1197,123,9,8
1198,123,10,5
1199,123,11,9
1200,123,13,16
1201,123,14,15
1202,123,15,9
1203,123,19,6
1204,123,21,7
1205,123,26,11
1206,123,28,9
1207,124,2,8
1208,124,8,16
1209,124,10,11
1210,124,13,5
1211,124,16,15
1212,124,18,5
1213,124,19,11
1214,124,22,12
1215,124,23,9
1216,124,26,11
1217,125,0,7
1218,125,5,10
1219,125,7,11
1220,125,13,5
1221,125,15,5
1222,125,17,10
1223,125,19,13
1224,126,3,5
1225,126,6,11
1226,126,9,19
1227,126,10,12
1228,126,11,16
1229,126,15,5
1230,126,16,10
1231,126,18,18
1232,126,21,9
1233,126,22,8
1234,126,23,15
1235,126,28,5
1236,127,0,10
1237,127,7,17
1238,127,8,14
1239,127,9,7
1240,127,11,7
1241,127,13,19
1242,127,14,9
1243,127,19,16
1244,127,22,6
1245,127,25,15
1246,127,26,10
1247,128,2,7
1248,128,8,19
1249,128,13,12
1250,128,17,5
1251,128,18,6
1252,128,22,19
1253,128,25,5
1254,128,26,10
1255,129,7,14
1256,129,17,5
1257,129,18,19
1258,129,22,13
1259,129,23,9
1260,129,25,6
1261,129,29,11
1262,130,0,11
1263,130,2,9
1264,130,3,6
1265,130,5,7
1266,130,7,16
1267,130,10,6
1268,130,12,5
1269,130,13,18
1270,130,17,7
1271,130,20,10
1272,130,25,7
1273,130,29,6
1274,131,0,7
1275,131,1,10
1276,131,3,13
1277,131,6,17
1278,131,7,8
1279,131,9,6
1280,131,15,10
1281,131,16,6
1282,131,23,13
1283,131,28,19
1284,132,0,9
1285,132,4,18
1286,132,9,9
1287,132,14,12
1288,132,16,6
1289,132,20,16
1290,132,21,11
1291,132,22,18
1292,132,23,9
1293,132,26,14
1294,133,1,14
1295,133,2,7
1296,133,3,16
1297,133,5,7
1298,133,11,16
1299,133,12,16
1300,133,13,12
1301,133,14,17
1302,133,17,8
1303,133,18,14
1304,133,23,6
1305,133,26,12
1306,133,27,16
1307,134,6,6
1308,134,7,15
1309,134,10,18
1310,134,12,11
1311,134,14,11
1312,134,21,12
1313,134,26,17
1314,134,27,18
1315,135,0,16
1316,135,6,16
1317,135,12,16
1318,135,14,11
1319,135,17,8
1320,135,19,17
1321,135,20,10
1322,135,21,8
1323,135,22,10
1324,135,25,13
1325,135,26,9
1326,135,28,17
1327,136,2,6
1328,136,5,18
1329,136,9,15
1330,136,14,13
1331,136,15,16
1332,136,17,9
1333,136,18,12
1334,136,20,8
1335,136,25,9
1336,136,26,7
1337,136,29,12
1338,137,1,15
1339,137,2,15
1340,137,7,6
1341,137,16,15
1342,137,17,9
1343,137,19,9
1344,137,20,6
1345,137,22,11
1346,137,25,17
1347,137,26,11
1348,137,28,12
1349,137,29,15
1350,138,0,13
1351,138,8,7
1352,138,9,13
1353,138,12,19
1354,138,13,19
1355,138,15,18
1356,138,17,17
1357,138,21,18
1358,138,22,16
1359,138,23,7
1360,138,25,5
1361,138,27,15
1362,139,0,14
1363,139,2,12
1364,139,3,16
1365,139,6,18
1366,139,10,18
1367,139,11,8
1368,139,14,13
1369,139,15,11
1370,139,17,5
1371,139,23,13
1372,139,24,9
1373,140,0,9
1374,140,20,18
1375,140,21,10
1376,140,22,12
1377,140,24,17
1378,140,25,9
1379,140,29,12
1380,141,1,10
1381,141,3,12
1382,141,5,7
1383,141,6,6
1384,141,8,18
1385,141,10,8
1386,141,12,15
1387,141,13,16
1388,141,17,9
1389,141,18,6
1390,141,21,6
1391,141,27,13
1392,142,10,6
1393,142,13,16
1394,142,16,10
1395,142,22,13
1396,142,25,19
1397,142,29,8
1398,143,3,6
1399,143,8,8
1400,143,10,19
1401,143,12,17
1402,143,14,7
1403,143,19,10
1404,143,22,8
1405,143,24,8
1406,143,25,14
1407,143,26,9
1408,143,29,15
1409,144,0,18
1410,144,1,8
1411,144,3,6
1412,144,5,12
1413,144,7,7
1414,144,8,16
1415,144,9,7
1416,144,12,13
1417,144,14,14
1418,144,16,7
1419,144,20,10
1420,144,22,18
1421,144,24,7
1422,144,27,15
1423,145,1,14
1424,145,2,10
1425,145,3,16
1426,145,4,14
1427,145,6,6
1428,145,12,5
1429,145,15,15
1430,145,23,13
1431,145,27,10
1432,146,9,15
1433,146,12,12
1434,146,14,7
1435,146,15,8
1436,146,16,12
1437,146,18,9
1438,146,19,16
1439,146,20,18
1440,146,21,9
1441,146,22,10
1442,146,23,13
1443,146,24,15
1444,146,26,14
1445,146,27,7
1446,147,0,10
1447,147,1,18
1448,147,2,15
1449,147,5,5
1450,147,10,7
1451,147,16,11
1452,147,18,5
1453,147,24,17
1454,148,18,6
1455,148,21,9
1456,148,22,7
1457,148,24,17
1458,148,25,19
1459,149,0,9
1460,149,3,6
1461,149,4,17
1462,149,7,19
1463,149,10,14
1464,149,15,8
1465,149,17,15
1466,149,19,10
1467,149,25,7
1468,149,28,10
1469,149,29,11
1470,150,3,14
1471,150,6,16
1472,150,15,8
1473,150,16,14
1474,150,18,14
1475,150,20,19
1476,150,22,8
1477,150,24,8
1478,150,29,11
1479,151,1,17
1480,151,3,15
1481,151,6,18
1482,151,7,11
1483,151,18,9
1484,151,22,15
1485,151,25,14
1486,152,3,12
1487,152,5,19
1488,152,6,14
1489,152,8,19
1490,152,10,7
1491,152,11,7
1492,152,13,11
1493,152,16,7
1494,152,18,14
1495,152,20,15
1496,152,23,5
1497,152,26,10
1498,152,27,13
1499,152,28,12
1500,153,9,18
1501,153,11,18
1502,153,17,7
1503,153,25,12
1504,153,27,17
1505,154,3,15
1506,154,5,13
1507,154,7,17
1508,154,11,19
1509,154,13,16
1510,154,24,17
1511,154,27,8
1512,155,1,12
1513,155,2,16
1514,155,3,16
1515,155,5,15
1516,155,8,5
1517,155,9,19
1518,155,11,12
1519,155,12,11
1520,155,17,11
1521,155,18,7
1522,155,19,19
1523,155,23,7
1524,155,25,8
1525,155,27,14
1526,156,0,16
1527,156,1,18
1528,156,3,13
1529,156,7,10
1530,156,9,14
1531,156,12,19
1532,156,15,7
1533,156,20,12
1534,156,22,17
1535,156,23,16
1536,156,26,5
1537,157,2,17
1538,157,3,9
1539,157,19,8
1540,157,20,6
1541,157,28,19
1542,158,2,13
1543,158,4,6
1544,158,10,5
1545,158,12,16
1546,158,13,5
1547,158,18,14
1548,158,19,16
1549,158,20,14
1550,158,21,5
1551,158,26,17
1552,159,3,7
1553,159,4,7
1554,159,7,8
1555,159,8,6
1556,159,10,19
1557,159,14,14
1558,159,18,6
1559,159,22,9
1560,159,23,16
1561,159,27,16
1562,159,28,6
1563,159,29,7
1564,160,3,7
1565,160,4,7
1566,160,5,18
1567,160,8,12
1568,160,14,10
1569,160,15,17
1570,160,17,15
1571,160,23,13
1572,160,24,8
1573,160,26,15
1574,160,27,9
1575,161,3,14
1576,161,10,17
1577,161,11,16
1578,161,12,15
1579,161,13,12
1580,161,15,17
1581,161,17,17
1582,161,18,7
1583,161,27,13
1584,161,29,8
1585,162,2,12
1586,162,3,14
1587,162,5,18
1588,162,8,6
1589,162,12,16
1590,162,13,17
1591,162,14,6
1592,162,15,15
1593,162,16,19
1594,162,18,7
1595,162,20,18
1596,162,24,19
1597,162,26,13
1598,162,29,19
1599,163,0,6
1600,163,2,18
1601,163,3,18
1602,163,4,16
1603,163,5,11
1604,163,8,5
1605,163,9,12
1606,163,14,13
1607,163,15,6
1608,163,16,5
1609,163,17,17
1610,163,21,8
1611,163,25,8
1612,163,26,19
1613,164,2,11
1614,164,8,13
1615,164,9,8
1616,164,10,6
1617,164,11,17
1618,164,14,12
1619,164,15,19
1620,164,16,13
1621,164,24,11
1622,164,25,8
1623,164,26,15
1624,165,6,13
1625,165,7,11
1626,165,8,19
1627,165,9,7
1628,165,13,15
1629,165,15,16
1630,165,19,16
1631,165,21,10
1632,165,24,8
1633,165,25,19
1634,165,26,8
1635,165,27,11
1636,165,28,16
1637,165,29,19
1638,166,1,15
1639,166,3,15
1640,166,16,16
1641,166,17,12
1642,166,18,16
1643,166,23,13
1644,166,28,6
1645,166,29,14
1646,167,2,13
1647,167,10,8
1648,167,15,8
1649,167,18,16
1650,167,20,9
1651,167,26,5
1652,167,27,17
1653,168,0,7
1654,168,1,9
1655,168,6,15
1656,168,7,13
1657,168,9,12
1658,168,10,9
